ID,Nome,Codice,Verniciati,Scorta
4398,"INVOLUCRO AT 1000X1000X300","AT-IN101030",0,10
4399,"INVOLUCRO AT 1000X1000X400","AT-IN101040",0,10
4400,"INVOLUCRO AT 1000X1200X300","AT-IN101230",0,10
4401,"INVOLUCRO AT 1000X1400X300","AT-IN101430",0,10
4397,"INVOLUCRO AT 1000X800X200","AT-IN10820",0,10
4402,"INVOLUCRO AT 1200X1200X300","AT-IN121230",0,10
4361,"INVOLUCRO AT 200X300X150","AT-IN2315",0,10
4362,"INVOLUCRO AT 250X300X150","AT-IN25315",0,10
4363,"INVOLUCRO AT 300X300X150","AT-IN3315",0,10
4364,"INVOLUCRO AT 300X400X150","AT-IN3415",0,10
4365,"INVOLUCRO AT 300X400X200","AT-IN3420",0,10
4366,"INVOLUCRO AT 300X500X150","AT-IN3515",0,10
4367,"INVOLUCRO AT 300X500X200","AT-IN3520",0,10
4368,"INVOLUCRO AT 300X500X250","AT-IN3525",0,10
4369,"INVOLUCRO AT 400X400X200","AT-IN4420",0,10
4370,"INVOLUCRO AT 400X500X150","AT-IN4515",0,10
4371,"INVOLUCRO AT 400X500X200","AT-IN4520",0,10
4372,"INVOLUCRO AT 400X500X250","AT-IN4525",0,10
4373,"INVOLUCRO AT 400X600X200","AT-IN4620",0,10
4374,"INVOLUCRO AT 400X600X250","AT-IN4625",0,10
4375,"INVOLUCRO AT 500X500X200","AT-IN5520",0,10
4376,"INVOLUCRO AT 500X500X250","AT-IN5525",0,10
4377,"INVOLUCRO AT 500X700X200","AT-IN5720",0,10
4378,"INVOLUCRO AT 500X700X250","AT-IN5725",0,10
4388,"INVOLUCRO AT 600X1000X250","AT-IN61025",0,10
4389,"INVOLUCRO AT 600X1000X300","AT-IN61030",0,10
4390,"INVOLUCRO AT 600X1000X400","AT-IN61040",0,10
4391,"INVOLUCRO AT 600X1200X300","AT-IN61230",0,10
4379,"INVOLUCRO AT 600X400X400","AT-IN6440",0,10
4380,"INVOLUCRO AT 600X600X200","AT-IN6620",0,10
4381,"INVOLUCRO AT 600X600X250","AT-IN6625",0,10
4382,"INVOLUCRO AT 600X600X300","AT-IN6630",0,10
4383,"INVOLUCRO AT 600X600X400","AT-IN6640",0,10
4384,"INVOLUCRO AT 600X800X200","AT-IN6820",0,10
4385,"INVOLUCRO AT 600X800X250","AT-IN6825",0,10
4386,"INVOLUCRO AT 600X800X300","AT-IN6830",0,10
4387,"INVOLUCRO AT 600X800X400","AT-IN6840",0,10
4394,"INVOLUCRO AT 800X1000X250","AT-IN81025",0,10
4395,"INVOLUCRO AT 800X1000X300","AT-IN81030",0,10
4396,"INVOLUCRO AT 800X1200X300","AT-IN81230",0,10
4392,"INVOLUCRO AT 800X800X200","AT-IN8820",0,10
4393,"INVOLUCRO AT 800X800X300","AT-IN8830",0,10
1129,"PANN. LATERALE 1000X1200","AGR10012L",0,10
1130,"PANN. LATERALE 1000X1800","AGR10018L",0,10
1131,"PANN. LATERALE 1000X2000","AGR10020L",0,10
1132,"PANN. LATERALE 1000X2200","AGR10022L",0,10
1133,"PANN. LATERALE 1200X1000","AGR12010L",0,10
1134,"PANN. LATERALE 1200X2000","AGR12020L",0,10
1096,"PANN. LATERALE 250X1800","AGR02518L",0,10
1097,"PANN. LATERALE 300X1600","AGR03016L",0,10
1098,"PANN. LATERALE 300X1800","AGR03018L",0,10
1099,"PANN. LATERALE 400X1000","AGR04010L",0,10
1100,"PANN. LATERALE 400X1200","AGR04012L",0,10
1101,"PANN. LATERALE 400X1400","AGR04014L",0,10
1102,"PANN. LATERALE 400X1600","AGR04016L",0,10
1103,"PANN. LATERALE 400X1800","AGR04018L",0,10
1104,"PANN. LATERALE 400X2000","AGR04020L",0,10
1105,"PANN. LATERALE 400X2200","AGR04022L",0,10
1106,"PANN. LATERALE 500X1000","AGR05010L",0,10
1107,"PANN. LATERALE 500X1200","AGR05012L",0,10
1108,"PANN. LATERALE 500X1400","AGR05014L",0,10
1109,"PANN. LATERALE 500X1600","AGR05016L",0,10
1110,"PANN. LATERALE 500X1800","AGR05018L",0,10
1111,"PANN. LATERALE 500X2000","AGR05020L",0,10
1112,"PANN. LATERALE 500X2000 TOSA","AGR05020L TOSA",0,10
1113,"PANN. LATERALE 500X2200","AGR05022L",0,10
1114,"PANN. LATERALE 600X1000","AGR06010L",0,10
1115,"PANN. LATERALE 600X1200","AGR06012L",0,10
1116,"PANN. LATERALE 600X1400","AGR06014L",0,10
1117,"PANN. LATERALE 600X1600","AGR06016L",0,10
1118,"PANN. LATERALE 600X1800","AGR06018L",0,10
1119,"PANN. LATERALE 600X2000","AGR06020L",0,10
1120,"PANN. LATERALE 600X2000 ZANONI","AGR06020L ZANONI",0,10
1121,"PANN. LATERALE 600X2200","AGR06022L",0,10
1122,"PANN. LATERALE 800X1000","AGR08010L",0,10
1123,"PANN. LATERALE 800X1200","AGR08012L",0,10
1124,"PANN. LATERALE 800X1400","AGR08014L",0,10
1125,"PANN. LATERALE 800X1600","AGR08016L",0,10
